time_s,resultant
222.95,0.946063581
222.96,1.13074792
222.97,1.273024959
222.98,1.326119579
222.99,1.466235838
223,1.620797145
223.01,1.577372152
223.02,1.138802392
223.03,0.698943809
223.04,0.555581706
223.05,0.678975539
223.06,0.764419467
223.07,0.768917459
223.08,0.638628701
223.09,0.164808602
223.1,2.348534366
223.11,5.119924634
223.12,1.934832428
223.13,1.719933356
223.14,1.681895803
223.15,1.230673218
223.16,2.497126723
223.17,1.70628065
223.18,0.89770284
223.19,0.72694319
223.2,0.80433674
223.21,0.734010552
223.22,0.564405423
223.23,0.583468713
223.24,0.481963263
223.25,0.364083953
223.26,0.298631409
223.27,0.328603862
223.28,0.511164467
223.29,0.644631853
223.3,0.732076936
223.31,0.835594396
223.32,0.974368294
223.33,1.087020871
223.34,1.15419183
223.35,1.191541112
223.36,1.175747443
223.37,1.099695236
223.38,0.919169912
223.39,0.797161268
223.4,0.791842331
223.41,0.818963516
223.42,0.911659385
223.43,1.02019288
223.44,1.066336863
223.45,1.026898845
223.46,0.72218959
223.47,2.082545758
223.48,3.286610803
223.49,2.255183431
223.5,1.739782552
223.51,1.126297258
223.52,0.730049356
223.53,1.959186015
223.54,1.217456134
223.55,0.84561762
223.56,1.118857727
223.57,0.884037616
223.58,0.610435717
223.59,0.497698261
223.6,0.516123437
223.61,0.498617639
223.62,0.40158464
223.63,0.311996894
223.64,0.256078696
223.65,0.204054661
223.66,0.225131058
223.67,0.301270321
223.68,0.418766313
223.69,0.64237045
223.7,0.874424172
223.71,1.128720838
223.72,1.329166964
223.73,1.395526172
223.74,1.299147131
223.75,1.152413171
223.76,1.038013193
223.77,0.928045063
223.78,0.813139198
223.79,0.755779964
223.8,0.797873651
223.81,0.894032899
223.82,0.939183203
223.83,0.891345307
223.84,0.6240058
223.85,0.860927774
223.86,3.760789806
223.87,2.459251799
223.88,0.234997485
223.89,1.173814189
223.9,0.450060206
223.91,1.571721821
223.92,1.721048382
223.93,0.881029316
223.94,0.802200693
223.95,0.832618051
223.96,0.837009275
223.97,0.756329508
223.98,0.719412521
223.99,0.634611615
224,0.524109214
224.01,0.450738186
224.02,0.366402796
224.03,0.271122382
224.04,0.180955686
224.05,0.259981355
224.06,0.443522848
224.07,0.662963761
224.08,0.846149488
224.09,1.00001373
224.1,1.129969971
224.11,1.214889408
224.12,1.215921767
224.13,1.135951771
224.14,1.089830363
224.15,0.985944785
224.16,0.903596306
224.17,0.810108483
224.18,0.782775097
224.19,0.84080603
224.2,0.939400648
224.21,1.007252713
224.22,0.99400654
224.23,0.843906381
224.24,0.487439688
224.25,2.432065828
224.26,3.615010102
224.27,1.437793128
224.28,0.551191237
224.29,0.36036958
224.3,1.33003291
224.31,1.62324974
224.32,1.091205316
224.33,1.034581647
224.34,0.945007148
224.35,0.669523883
224.36,0.536900347
224.37,0.611364495
224.38,0.585556981
224.39,0.474511896
224.4,0.358051133
224.41,0.282296271
224.42,0.21053133
224.43,0.175446198
224.44,0.293400159
224.45,0.531901589
224.46,0.774824012
224.47,0.970604598
224.48,1.140026912
224.49,1.296015571
224.5,1.409992365
224.51,1.402923465
224.52,1.291944233
224.53,1.091939672
224.54,0.894801319
224.55,0.757239331
